Id,Name,Email,Phone
0,Anike Patel,anika.patel@strimeuniversity.edu,555-123-4567
0,Jack Smith,Jack.Smith@this.edu,458-555-6547
0,Emily Johnson,Emily.Johnson@this.edu,458-555-1201
0,Michael Davis,Michael.Davis@this.edu,458-555-1202
0,Sarah Lee,Sarah.Lee@this.edu,458-555-1203
0,David Martinez,David.Martinez@this.edu,458-555-1204
0,Laura Wilson,Laura.Wilson@this.edu,458-555-1205
0,James Anderson,James.Anderson@this.edu,458-555-1206
0,Olivia Thomas,Olivia.Thomas@this.edu,458-555-1207
0,Daniel Taylor,Daniel.Taylor@this.edu,458-555-1208
0,Chloe Moore,Chloe.Moore@this.edu,458-555-1209
0,Matthew Jackson,Matthew.Jackson@this.edu,458-555-1210
0,Sophia White,Sophia.White@this.edu,458-555-1211
0,Andrew Harris,Andrew.Harris@this.edu,458-555-1212
0,Isabella Martin,Isabella.Martin@this.edu,458-555-1213
0,Christopher Thompson,Christopher.Thompson@this.edu,458-555-1214
0,Grace Garcia,Grace.Garcia@this.edu,458-555-1215
0,Joshua Martinez,Joshua.Martinez@this.edu,458-555-1216
0,Lily Robinson,Lily.Robinson@this.edu,458-555-1217
0,Benjamin Clark,Benjamin.Clark@this.edu,458-555-1218
0,Ava Rodriguez,Ava.Rodriguez@this.edu,458-555-1219
0,William Lewis,William.Lewis@this.edu,458-555-1220
